article,name,birth,death,flourish,nationality,era,comment
John Mundy (composer),John Mundy,c. 1555 , 1630,,English,Renaissance,
Thomas Morley,Thomas Morley,1557/1558,1603,,English,Renaissance,
Nathaniel Giles,Nathaniel Giles,c. 1558 , 1634,,English,Renaissance,
Ferdinando Richardson,Ferdinando Richardson,1558,1618,,English,Renaissance,
Richard Carlton,Richard Carlton,1558,1638,,English,Renaissance,
Richard Allison (composer),Richard Allison,c. 1560/1570,before 1610,,English,Renaissance,
William Brade,William Brade,1560,1630,,English,Renaissance,
William Cobbold (composer),William Cobbold,1560,1639,,English,Renaissance,
Peter Philips,Peter Philips,1560,1628,,English,Renaissance,
Thomas Robinson (composer),Thomas Robinson,1560,1610,,English,Renaissance,
John Bull (composer),John Bull,1562,1628,,English,Renaissance,
John Dowland,John Dowland,1563,1626,,English,Renaissance,
Giles Farnaby,Giles Farnaby,c. 1563 , 1640,,English,Renaissance,
John Milton (composer),John Milton,c. 1563 , 1647,,English,Renaissance,
John Danyel,John Danyel,1564 , after 1625,,English,Renaissance,
Michael Cavendish,Michael Cavendish,c. 1565 , 1628,,English,Renaissance,
John Farmer (1570–1605),John Farmer,c. 1565 , 1605,,English,Renaissance,
George Kirbye,George Kirbye,c. 1565 , 1634,,English,Renaissance,
William Leighton,William Leighton,c. 1565 , 1622,,English,Renaissance,
John Hilton (I),John Hilton,1565,1609,,English,Renaissance,
Francis Pilkington,Francis Pilkington,c. 1565 , 1638,,English,Renaissance,
Thomas Campion,Thomas Campion,1567,1620,,English,Renaissance,
Philip Rosseter,Philip Rosseter,c. 1568 , 1623,,English,Renaissance,
Tobias Hume,Tobias Hume,c. 1569 , 1645,,English,Renaissance,
Nicholas Strogers,Nicholas Strogers,,,1560–1575,English,Renaissance,
Thomas Bateson,Thomas Bateson,c. 1570 , 1630,,English,Renaissance,
John Cooper (composer),John Cooper,c. 1570 , 1626,,English,Renaissance,
William Tisdale,William Tisdale,c. 1570,,,English,Renaissance,
Thomas Lupo,Thomas Lupo,1571,1627,,English,Renaissance,
John Ward (composer),John Ward,1571,1638,,English,Renaissance,
Edward Johnson (composer),Edward Johnson,1572,1601,,English,Renaissance,
Daniel Bacheler,Daniel Bacheler,1572,1618,,English,Renaissance,
Martin Peerson,Martin Peerson,1572,1650,,English,Renaissance,
Thomas Tomkins,Thomas Tomkins,1572,1656,,English,Renaissance,
Ellis Gibbons,Ellis Gibbons,1573,1603,,English,Renaissance,
John Wilbye,John Wilbye,1574,1638,,English,Renaissance,
John Bartlet,John Bartlet,,,1606 to 1610,English,Renaissance,
John Bennet (composer),John Bennet,c. 1575 , after 1614,,English,Renaissance,
John Coprario,John Coprario,c. 1575 , 1626,,English,Renaissance,
Daniel Farrant,Daniel Farrant,1575,1671,,English,Renaissance,
Alfonso Ferrabosco the younger,Alfonso Ferrabosco the younger,c. 1575 , 1628,,English,Renaissance,
William Simmes,William Simmes,c. 1575 , c. 1625,,English,Renaissance,
John Holmes (composer),John Holmes,,1629,from 1599,English,Renaissance,
Thomas Greaves (musician),Thomas Greaves,,,1604,English,Renaissance,
Thomas Weelkes,Thomas Weelkes,1576,1623,,English,Renaissance,
John Maynard (composer),John Maynard,c. 1577 , between 1614 and 1633,,English,Renaissance,
Robert Jones (composer),Robert Jones,1577,1617,,English,Renaissance,
John Amner,John Amner,1579,1641,,English,Renaissance,
Michael East (composer),Michael East,c. 1580 , 1648,,English,Renaissance,
Richard Dering,Richard Dering,c. 1580 , 1630,,English,Renaissance,
Thomas Ford (composer),Thomas Ford,c. 1580 , 1648,,English,Renaissance,
Richard Nicholson (composer),Richard Nicholson,,1639,,English,Renaissance,
Thomas Vautor,Thomas Vautor,c. 1580/90,,,English,Renaissance,
Henry Youll,Henry Youll,c. 1580/90,,,English,Renaissance,
George Handford (composer),George Handford,,,c. 1609,English,Renaissance,
John Lugg,John Lugg,1580 , 1647/1655,,English,Renaissance,
Thomas Ravenscroft,Thomas Ravenscroft,c. 1582 , c. 1633,,English,Renaissance,
Thomas Simpson (composer),Thomas Simpson,1582 , c. 1628,,English,Renaissance,
Orlando Gibbons,Orlando Gibbons,1583,1625,,English,Renaissance,
Robert Johnson (English composer),Robert Johnson,c. 1583 , 1633,,English,Renaissance,
William Corkine,William Corkine,,,1610–1617,English,Renaissance,
John Adson,John Adson,1587,1640,,English,Renaissance,
Nicholas Lanier,Nicholas Lanier,1588,1666,,English,Renaissance,
Walter Porter,Walter Porter,c. 1588 , 1659,,English,Renaissance,
Robert Ramsey (composer),Robert Ramsey,1590s,1644,,English,Renaissance,
Richard Mico,Richard Mico,1590,1661,,English,Renaissance,
Robert Dowland,Robert Dowland,1591,1641,,English,Renaissance,
John Jenkins (composer),John Jenkins,1592,1678,,English,Renaissance,
Henry Lawes,Henry Lawes,1595,1662,,English,Renaissance,
John Wilson (composer),John Wilson,1595,1674,,English,Renaissance,
John Hilton the younger,John Hilton the younger,1599,1657,,English,Renaissance,
Simon Ives,Simon Ives,1600,1662,,English,Renaissance,
William Lawes,William Lawes,1602,1645,,English,Renaissance,
Christopher Simpson,Christopher Simpson,1602/1606,1669,,English,Renaissance,
William Child,William Child,1606,1697,,English,Renaissance,
George Jeffreys (composer),George Jeffreys,1610,1685,,English,Renaissance,
William Young (composer),William Young,1610,1662,,English,Renaissance,
Robert Johnson (Scottish composer),Robert Johnson,c. 1470 , after 1554,,Scottish,Renaissance,
Robert Carver (composer),Robert Carver,1485,1570,,Scottish,Renaissance,
David Peebles,David Peebles,,,c. 1530–1579,Scottish,Renaissance,
Pycard,Pycard,,,c. 1390-after c. 1410,English,Renaissance,"Has works preserved in the first layer of the Old Hall Manuscript and elsewhere. His identity is unclear; probably English, but possibly from France."
Leonel_Power,Leonel Power,c. 1370,1445,,English,Renaissance,
Roy_Henry,Roy Henry,,,1410-after 1410,English,Renaissance,Very likely to be Henry V of England (1387–1422)
Byttering,Byttering possibly Thomas Byttering,,,c. 1410-after 1420,English,Renaissance,
John_Plummer_(composer),John Plummer,c. 1410,c. 1483,,English,Renaissance,
Henry_Abyngdon,Henry Abyngdon,c. 1418,1497,,English,Renaissance,
Walter_Frye,Walter Frye,,,c. 1450-1474,English,Renaissance,
William_Horwood_(composer),William Horwood,c. 1430,1484,,English,Renaissance,Some of his music is collected in the Eton Choirbook.
John_Hothby,John Hothby Johannes Ottobi,c. 1430,1487,,English,Renaissance,English theorist and composer mainly active in Italy.
William_Hawte,William Hawte William Haute,c. 1430,1497,,English,Renaissance,
Richard_Hygons,Richard Hygons,c. 1435,c. 1509,,English,Renaissance,
Gilbert_Banester,Gilbert Banester,c. 1445,1487,,English,Renaissance,
Walter_Lambe,Walter Lambe,c. 1450,after 1504,,English,Renaissance,Major contributor to the Eton Choirbook.
Hugh_Kellyk,Hugh Kellyk,late 15th century,16th century?,,English,Renaissance,"has two surviving pieces, a five-part Magnificat and a seven-part Gaude flore virginali, in the Eton Choirbook."
Edmund_Turges,Edmund Turges possibly the same as Edmund Sturges,1450,1500,,English,Renaissance,Has a number of works preserved in the Eton Choirbook; at least three Magnificat settings and two masses have been lost.
Thomas Fabri,Thomas Fabri,1380,1420,,Franco-Flemish,Renaissance,
Johannes de Limburgia,Johannes de Limburgia,,,1408–1431,Franco-Flemish,Renaissance,
Clement Liebert,Clement Liebert,,,1433–1454,Franco-Flemish,Renaissance,
Johannes Ockeghem,Johannes Ockeghem,c. 1410,1497,,Franco-Flemish,Renaissance,
Johannes Regis,Johannes Regis,c. 1425,c. 1496,,Franco-Flemish,Renaissance,
Johannes Tinctoris,Johannes Tinctoris,c. 1435,1511,,Franco-Flemish,Renaissance,
Johannes Martini,Johannes Martini,c. 1440,1497/98,,Franco-Flemish,Renaissance,
Petrus de Domarto,Petrus de Domarto,,,c. 1445–1455,Franco-Flemish,Renaissance,
Alexander Agricola,Alexander Agricola,1445/1446,1506,,Franco-Flemish,Renaissance,
Johannes de Stokem,Johannes de Stokem,c. 1445,1487 or 1501,,Franco-Flemish,Renaissance,
Gaspar van Weerbeke,Gaspar van Weerbeke,c. 1445,after 1516,,Franco-Flemish,Renaissance,
Johannes Pullois,Johannes Pullois,,1478,,Franco-Flemish,Renaissance,
Josquin des Prez,Josquin des Prez,c. 1450,1521,,Franco-Flemish,Renaissance,
Heinrich Isaac,Heinrich Isaac,c. 1450,1517,,Franco-Flemish,Renaissance,
Matthaeus Pipelare,Matthaeus Pipelare,c. 1450,c. 1515,,Franco-Flemish,Renaissance,
Abertijne Malcourt,Abertijne Malcourt,c. 1450,c. 1510,,Franco-Flemish,Renaissance,
Jean Japart,Jean Japart,,,1474–1481,Franco-Flemish,Renaissance,
Jacobus Barbireau,Jacobus Barbireau,1455,1491,,Franco-Flemish,Renaissance,
Jacob Obrecht,Jacob Obrecht,1457/58,1505,,Franco-Flemish,Renaissance,
Nycasius de Clibano,Nycasius de Clibano,,,1457–1497,Franco-Flemish,Renaissance,
Jheronimus de Clibano,Jheronimus de Clibano,c. 1459,1503,,Franco-Flemish,Renaissance,
Pierre de La Rue,Pierre de La Rue,c. 1460,1518,,Franco-Flemish,Renaissance,
Marbrianus de Orto,Marbrianus de Orto,c. 1460,1529,,Franco-Flemish,Renaissance,
Johannes Prioris,Johannes Prioris,c. 1460?,c. 1514,,Franco-Flemish,Renaissance,
Antonius Divitis,Antonius Divitis,c. 1470,c. 1530,,Franco-Flemish,Renaissance,
Johannes Ghiselin,Johannes Ghiselin,,,1491–1507,Franco-Flemish,Renaissance,
Nicolas Champion,Nicolas Champion,c. 1475,1533,,Franco-Flemish,Renaissance,
Jacob Godebrye,Jacotin,,1529,,Franco-Flemish,Renaissance,
Noel Bauldeweyn,Noel Bauldeweyn,c. 1480,after 1513,,Franco-Flemish,Renaissance,
Jean Richafort,Jean Richafort,c. 1480,1547,,Franco-Flemish,Renaissance,
Benedictus Appenzeller,Benedictus Appenzeller,1480 to 1488,after 1558,,Franco-Flemish,Renaissance,
Pierre Moulu,Pierre Moulu,c. 1485,c. 1550,,Franco-Flemish,Renaissance,
Pierre Passereau,Pierre Passereau,,,1509–1547,Franco-Flemish,Renaissance,
Adrian Willaert,Adrian Willaert,c. 1490,1562,,Franco-Flemish,Renaissance,
Lupus Hellinck,Lupus Hellinck,c. 1494,1541,,Franco-Flemish,Renaissance,
Nicolas Gombert,Nicolas Gombert,c. 1495,c. 1560,,Franco-Flemish,Renaissance,
Adrianus Petit Coclico,Adrianus Petit Coclico,1499,after 1562,,Franco-Flemish,Renaissance,
Philip van Wilder,Philip van Wilder,1500,1554,,Franco-Flemish,Renaissance,
Jacques Buus,Jacques Buus,c. 1500,1565,,Franco-Flemish,Renaissance,
Cornelius Canis,Cornelius Canis,c. 1500 to 1510,1561,,Franco-Flemish,Renaissance,
Gilles Reingot,Gilles Reingot,,,1501–1530,Franco-Flemish,Renaissance,
Thomas Crecquillon,Thomas Crecquillon,c. 1505,1557,,Franco-Flemish,Renaissance,
Jacquet de Berchem,Jacquet de Berchem,c. 1505,before 1567,,Franco-Flemish,Renaissance,
Jean de Latre,Jean de Latre,c. 1505/1510,1569,,Franco-Flemish,Renaissance,
Johannes Lupi,Johannes Lupi,c. 1506,1539,,Franco-Flemish,Renaissance,
Jacques Arcadelt,Jacques Arcadelt,c. 1507,1568,,Franco-Flemish,Renaissance,
Tielman Susato,Tielman Susato,c. 1510/15,after 1570,,Franco-Flemish,Renaissance,
Jheronimus Vinders,Jheronimus Vinders,,,1525–1526,Franco-Flemish,Renaissance,
Jean Courtois (composer),Jean Courtois,,,1530–1545,Franco-Flemish,Renaissance,
Jacob Clemens non Papa,Jacob Clemens non Papa,c. 1510/1515,c. 1555,,Franco-Flemish,Renaissance,
Pierre de Manchicourt,Pierre de Manchicourt,c. 1510,1564,,Franco-Flemish,Renaissance,
Jan Nasco,Jan Nasco,c. 1510,1561,,Franco-Flemish,Renaissance,
Dominique Phinot,Dominique Phinot,c. 1510,c. 1556,,Franco-Flemish,Renaissance,
Nicolas Payen,Nicolas Payen,c. 1512,c. 1559,,Franco-Flemish,Renaissance,
Hubert Naich,Hubert Naich,c. 1513,c. 1546,,Franco-Flemish,Renaissance,
Cypriano de Rore,Cypriano de Rore,c. 1515,1565,,Franco-Flemish,Renaissance,
Hubert Waelrant,Hubert Waelrant,c. 1517,1595,,Franco-Flemish,Renaissance,
Perissone Cambio,Perissone Cambio,c. 1520,c. 1562,,Franco-Flemish,Renaissance,
Severin Cornet,Severin Cornet,c. 1520,1582,,Franco-Flemish,Renaissance,
Philippe de Monte,Philippe de Monte,1521,1603,,Franco-Flemish,Renaissance,
Simon Moreau,Simon Moreau,,,1553–1558,Franco-Flemish,Renaissance,
Jean de Bonmarché,Jean de Bonmarché,c. 1525,1570,,Franco-Flemish,Renaissance,
Jacobus Vaet,Jacobus Vaet,c. 1529,1567,,Franco-Flemish,Renaissance,
Cornelis Boscoop,Cornelis Symonszoon Boscoop,before 1531,1573,,Dutch,Renaissance,
Jacobus de Kerle,Jacobus de Kerle,1531/1532,1591,,Franco-Flemish,Renaissance,
Orlande de Lassus,Orlande de Lassus,c. 1532,1594,,Franco-Flemish,Renaissance,
Giaches de Wert,Giaches de Wert,1535,1596,,Franco-Flemish,Renaissance,
Johannes Matelart,Johannes Matelart,before 1538,1607,,Franco-Flemish,Renaissance,
Jhan Gero,Jhan Gero,,,1540–1555,Franco-Flemish,Renaissance,
Jacob Regnart,Jacob Regnart,1540s,1599,,Franco-Flemish,Renaissance,
Andreas Pevernage,Andreas Pevernage,1542/3,1591,,Franco-Flemish,Renaissance,
Antonino Barges,Antonino Barges,,,1546–1565,Franco-Flemish,Renaissance,
George de La Hèle,George de La Hèle,1547,1586,,Franco-Flemish,Renaissance,
Balduin Hoyoul,Balduin Hoyoul,1547/8,1594,,Franco-Flemish,Renaissance,
Giovanni de Macque,Giovanni de Macque,c. 1549,1614,,Franco-Flemish,Renaissance,
Emmanuel Adriaenssen,Emmanuel Adriaenssen,1554,1604,,Franco-Flemish,Renaissance,
Rinaldo del Mel,Rinaldo del Mel,c. 1554,c. 1598,,Franco-Flemish,Renaissance,
Carolus Luython,Carolus Luython,1557,1620,,Franco-Flemish,Renaissance,
Philipp Schöndorff,Philippus Schoendorff,1558,1617,,Franco-Flemish,Renaissance,
Philippe Rogier,Philippe Rogier,c. 1561,1596,,Franco-Flemish,Renaissance,
Jan Pieterszoon Sweelinck,Jan Pieterszoon Sweelinck,1562,1621,,Franco-Flemish,Renaissance,
Cornelis Verdonck,Cornelis Verdonck,1563,1625,,Franco-Flemish,Renaissance,
Peeter Cornet,Peeter Cornet,1570/1580,1633,,Franco-Flemish,Renaissance,
Géry de Ghersem,Géry de Ghersem,1573/1575,1630,,Franco-Flemish,Renaissance,
Claudio Pari,Claudio Pari,1574,after 1619,,Franco-Flemish,Renaissance,
Richard Loqueville,Richard Loqueville,,1418,,French,Renaissance,
Baude Cordier,Baude Cordier,c. 1380,before 1440,,French,Renaissance,
Beltrame Feragut,Beltrame Feragut,c. 1385,c. 1450,,French,Renaissance,
Johannes Cesaris,Johannes Cesaris,,,c. 1406–1417,French,Renaissance,
G. Dupoitt,G. Dupoitt,,,c. 1420-1430,French,Renaissance,
Estienne Grossin,Estienne Grossin,,,1418–1421,French,Renaissance,
Johannes Fedé,Johannes Fedé,c. 1415,1477?,,French,Renaissance,
Biquardus,Biquardus,,,1440–1450,French,Renaissance,
Eloy d'Amerval,Eloy d'Amerval,,,1455–1508,French,Renaissance,
Firminus Caron,Firminus Caron,,,c. 1460–c. 1475,French,Renaissance,
Guillaume Faugues,Guillaume Faugues,,,c. 1460–1475,French,Renaissance,
Jehan Fresneau,Jehan Fresneau,,,1468–1505,French,Renaissance,
Philippe Basiron,Philippe Basiron,c. 1449,1491,,French,Renaissance,
Loyset Compère,Loyset Compère,c. 1450,1518,,French,Renaissance,
Gilles Mureau,Gilles Mureau,c. 1450,1512,,French,Renaissance,
Jean Mouton,Jean Mouton,c. 1459,1522,,French,Renaissance,
Antoine Brumel,Antoine Brumel,c. 1460,1512/1513,,French,Renaissance,
Colinet de Lannoy,Colinet de Lannoy,,before 1497,,French,Renaissance,
Carpentras (composer),Carpentras,c. 1470,1548,,French,Renaissance,
Antoine de Févin,Antoine de Févin,c. 1470,1511/12,,French,Renaissance,
Mathurin Forestier,Mathurin Forestier,c. 1470,1535,,French,Renaissance,
Pierrequin de Thérache,Pierrequin de Thérache,c. 1470,1528,,French,Renaissance,
Jean Braconnier,Jean Braconnier,,1512,from 1478,French,Renaissance,
Philippe Verdelot,Philippe Verdelot,c. 1475,before 1552,,French,Renaissance,
Ninot le Petit,Ninot le Petit,,,c. 1500–1520,French,Renaissance,
Antoine de Longueval,Antoine de Longueval,,,1498–1525,French,Renaissance,
Jean l'Héritier,Jean l'Héritier,c. 1480,after 1551,,French,Renaissance,
Jacquet of Mantua,Jacquet of Mantua,1483,1559,,French,Renaissance,
Clément Janequin,Clément Janequin,c. 1485,1558,,French,Renaissance,
Sandrin,Sandrin,c. 1490,c. 1560,,French,Renaissance,
Claudin de Sermisy,Claudin de Sermisy,c. 1490,1562,,French,Renaissance,
Pierre Attaingnant,Pierre Attaingnant,c. 1494,1551/1552,,French,Renaissance,
Pierre Vermont,Pierre Vermont,c. 1495,between 1527 and 1533,,French,Renaissance,
Robert de Févin,Robert de Févin,,,late 15th century–early 16th century,French,Renaissance,
Mathieu Gascongne,Mathieu Gascongne,,,1517–1518,French,Renaissance,
Acourt,Acourt,,,sometime in the first half of the 15th century,French,Renaissance,
Firmin Lebel,Firmin Lebel,early 16th century,1573,,French,Renaissance,
Hilaire Penet,Hilaire Penet,? 1501,15??,,French,Renaissance,
Pierre Certon,Pierre Certon,1510/1520,1572,,French,Renaissance,
Louis Bourgeois (composer),Loys Bourgeois,c. 1510,1560,,French,Renaissance,
Guillaume Le Heurteur,Guillaume Le Heurteur,,,1530–1545,French,Renaissance,
Jean Maillard,Jean Maillard,c. 1510,c. 1570,,French,Renaissance,
Guillaume Morlaye,Guillaume Morlaye,c. 1510,c. 1558,,French,Renaissance,
Jean Guyot de Châtelet,Jean Guyot de Châtelet,c. 1512,1588,,French,Renaissance,
Claude Goudimel,Claude Goudimel,c. 1514/1520,1572,,French,Renaissance,
Thoinot Arbeau,Thoinot Arbeau,1519,1595,,French,Renaissance,
Pierre Cadéac,Pierre Cadéac,,,1538–1556,French,Renaissance,
Pierre Clereau,Pierre Clereau,,,1539–1570,French,Renaissance,
Didier Lupi Second,Didier Lupi Second,c. 1520,after 1559,,French,Renaissance,
Lambert Courtois,Lambert Courtois,c. 1520,after 1583,,French,Renaissance,
Adrian Le Roy,Adrian Le Roy,c. 1520,1598,,French,Renaissance,
Claude Gervaise,Claude Gervaise,1525,1583,,French,Renaissance,
Simon Boyleau,Simon Boyleau,,,c. 1544–after 1586,French,Renaissance,
Antoine de Bertrand,Anthoine de Bertrand,c. 1530/1540,c. 1581,,French,Renaissance,
Guillaume Boni,Guillaume Boni,c. 1530,1594,,French,Renaissance,
Guillaume Costeley,Guillaume Costeley,c. 1530,1606,,French,Renaissance,
Nicolas de La Grotte,Nicolas de La Grotte,1530,c. 1600,,French,Renaissance,
Claude Le Jeune,Claude Le Jeune,1530,1600,,French,Renaissance,
Jehan Chardavoine,Jehan Chardavoine,1537,1580,,French,Renaissance,
Paschal de l'Estocart,Paschal de l'Estocart,1538/1539,after 1584,,French,Renaissance,
Nicolas Millot,Nicolas Millot,,,1559–1590 or later,French,Renaissance,
Joachim Thibault de Courville,Joachim Thibault de Courville,,1581,from c. 1567,French,Renaissance,
Eustache Du Caurroy,Eustache Du Caurroy,1549,1609,,French,Renaissance,
Charles Tessier,Charles Tessier,c. 1550,after 1604,,French,Renaissance,
Fabrice Caietain,Fabrice Caietain,,,1570–1578,French,Renaissance,
Jacques Mauduit,Jacques Mauduit,1557,1627,,French,Renaissance,
Jean Titelouze,Jean Titelouze,1562/1563,1633,,French,Renaissance,
Julien Perrichon,Julien Perrichon,1566 , c. 1600,,French,Renaissance,
Nicolas Formé,Nicolas Formé,1567,1638,,French,Renaissance,
Pierre Guédron,Pierre Guédron,1570,1620,,French,Renaissance,
Robert Ballard (lutenist),Robert Ballard,"c. 1572 or 1575, probably in Paris ", after 1650,,French,Renaissance,
Ennemond Gaultier,Ennemond Gaultier,1575,1651,,French,Renaissance,
Antoine Boësset,Antoine Boësset,1586,1643,,French,Renaissance,
Guillaume Bouzignac,Guillaume Bouzignac,1587,1643,,French,Renaissance,
Johann Andreas Herbst,Johann Andreas Herbst,1588,1666,,French,Renaissance,
Jacques Gaultier,Jacques Gaultier,1592,1652,,French,Renaissance,
Charles Racquet,Charles Racquet,1597,1664,,French,Renaissance,
Pierre Gaultier,Pierre Gaultier,1599,1681,,French,Renaissance,
Étienne Moulinié,Étienne Moulinié,1599,1676,,French,Renaissance,
Mlle Bocquet,Mlle Bocquet,early 17th century , after 1660,,French,Renaissance,
Zacara da Teramo,Zacara da Teramo,1350/60,1413/16,,Italian,Renaissance,
Paolo da Firenze,Paolo da Firenze,c. 1355 , c. 1436; a.k.a. Paolo Tenorista,,Italian,Renaissance,
Giovanni Mazzuoli,Giovanni Mazzuoli,1360,1426,,Italian,Renaissance,
Matteo da Perugia,Matteo da Perugia,,,1400–1416,Italian,Renaissance,
Antonio da Cividale,Antonio da Cividale,,,1392–1421,Italian,Renaissance,
Antonello da Caserta,Antonello da Caserta,14th century,after 1402,,Italian,Renaissance,
Nicolaus Ricii de Nucella Campli,Nicolaus Ricii de Nucella Campli,,after 1436,1401–1420,Italian,Renaissance,
Ugolino da Forlì,Ugolino da Forlì,1380,1457,,Italian,Renaissance,
Antonius Romanus,Antonius Romanus,,,1400–1432,Italian,Renaissance,
Bartolomeo da Bologna,Bartolomeo da Bologna,,,1405–1427,Italian,Renaissance,
Grazioso da Padova,Grazioso da Padova,,,1390?–1407,Italian,Renaissance,
Nicolaus Zacharie,Nicolaus Zacharie,c. 1400 or before,1466,,Italian,Renaissance,
Johannes de Quadris,Johannes de Quadris,c. 1410,? 1457,,Italian,Renaissance,
Guglielmo Ebreo da Pesaro,Guglielmo Ebreo da Pesaro,c. 1420,1484,,Italian,Renaissance,
Antonio Cornazzano,Antonio Cornazzano,c. 1430,1484,,Italian,Renaissance,
Antonius Janue,Antonius Janue,,,1460,Italian,Renaissance,
Franchinus Gaffurius,Franchinus Gaffurius,1451,1522,,Italian,Renaissance,
Giacomo Fogliano,Giacomo Fogliano,1468,10 April 1548,,Italian,Renaissance,
Marchetto Cara,Marchetto Cara,c. 1470,1525?,,Italian,Renaissance,
Bartolomeo Tromboncino,Bartolomeo Tromboncino,c. 1470,c. 1535,,Italian,Renaissance,
Bartolomeo degli Organi,Bartolomeo degli Organi,1474,1539,,Italian,Renaissance,
Vincenzo Capirola,Vincenzo Capirola,1474,after 1548,,Italian,Renaissance,
Filippo de Lurano,Filippo de Lurano,c. 1475,c. 1520,,Italian,Renaissance,
Francesco Spinacino,Francesco Spinacino,late 15th century,after 1507,,Italian,Renaissance,
