article,name,birth,death,nationality,era,flag,flag_reason
Bertha Sándor (zeneszerző),Bertha Sándor,1843,1912,Hungarian,,,
Bihari János (zeneszerző),Bihari János,1764,1827,Hungarian,,,
Bihari Sándor (zeneszerző),Bihari Sándor,1900,1984,Hungarian,,,
Birtalan József,Birtalan József,1927,2017,Hungarian,,,
Bloch József,Bloch József,1862,1922,Hungarian,,,
Bódy Magdi,Bódy Magdi,1953,,Hungarian,,pop,Kategória:Magyar könnyűzenei előadók
Bogár István (zeneszerző),Bogár István,1937,2006,Hungarian,,,
Bognár Ignác,Bognár Ignác,1810,1883,Hungarian,,,
Böhm Gusztáv,Böhm Gusztáv,1823,1878,Hungarian,,,
Böhm József (hegedűművész),Böhm József,1795,1876,Hungarian,,,
Bojtár László,Bojtár László,1926,1995,Hungarian,,,
Bokor József (zeneszerző),Bokor József,1861,1911,Hungarian,,,
Boksay János,Boksay János,1874,1940,Hungarian,,,
Bolcsó Bálint,Bolcsó Bálint,1979,,Hungarian,,not_found,
Borgulya András,Borgulya András,1931,,Hungarian,,,
Bornai Tibor,Bornai Tibor,1955,,Hungarian,,pop,Kategória:Magyar énekesek
Borsody László (zeneszerző),Borsody László,1944,,Hungarian,,not_found,
Both Miklós,Both Miklós,1981,,Hungarian,,,
Bozay Attila,Bozay Attila,1939,1999,Hungarian,,,
Breitner János,Breitner János,1915,1987,Hungarian,,pop,Kategória:Magyar könnyűzenei előadók
Breuer Péter,Breuer Péter,1975,,Hungarian,,not_found,
Bródy János,Bródy János,1946,,Hungarian,,pop,Kategória:Magyar énekesek
Bródy Miklós,Bródy Miklós,1877,1949,Hungarian,,,
Buchner Antal,Buchner Antal,1882,1950,Hungarian,,not_found,
Bugyis Péter,Bugyis Péter,1980,,Hungarian,,not_found,
Buday Dénes,Buday Dénes,1890,1963,Hungarian,,,
Bujdosó Márton,Bujdosó Márton,1975,,Hungarian,,,
Bujtás József,Bujtás József,1947,,Hungarian,,not_found,
Buttykay Ákos,Buttykay Ákos,1871,1935,Hungarian,,,
Bürger Zsigmond,Bürger Zsigmond,1856,1908,Hungarian,,,
Cezar Lacrone,Cezar Lacrone,1983,,Hungarian,,not_found,
Wictor Charon,Wictor Charon,1907,1976,Hungarian,,,
Chudy József,Chudy József,1753,1813,Hungarian,,,
Chilf Miklós,Chilf Miklós,1905,1985,Hungarian,,,
Chován Kálmán,Chován Kálmán,1852,1928,Hungarian,,,
Czakó Ádám,Czakó Ádám,1940,2013,Hungarian,,,
Czencz József,Czencz József,1952,,Hungarian,,,
Czibulka Alajos,Czibulka Alajos,1768,1845,Hungarian,,not_found,
Czibulka Alfonz,Czibulka Alfonz,1842,1894,Hungarian,,,
Czomba Imre,Czomba Imre,1972,,Hungarian,,,
Czobor Károly,Czobor Károly,1876,1957,Hungarian,,,
Csámpai Ivó,Csámpai Ivó,1899,1984,Hungarian,,not_found,
Csányi Mátyás (zeneszerző),Csányi Mátyás,1884,1962,Hungarian,,,
Csapó Gyula,Csapó Gyula,1955,,Hungarian,,not_found,
Császár György,Császár György,1813,1850,Hungarian,,not_found,
Cseh Tamás,Cseh Tamás,1943,2009,Hungarian,,pop,Kategória:Magyar könnyűzenei előadók
Cselenyák Imre,Cselenyák Imre,1957,,Hungarian,,pop,Kategória:Magyar énekesek
Csekő Gusztáv,Csekő Gusztáv,1835,1890,Hungarian,,,
Csemiczky Miklós,Csemiczky Miklós,1954,,Hungarian,,,
Csenki Imre,Csenki Imre,1912,1998,Hungarian,,,
Csepregi György (zeneszerző),Csepregi György,1966,,Hungarian,,,
Csermák Antal György,Csermák Antal György,c. 1774,1822,Hungarian,,,
Csíki Endre,Csíki Endre,1888,1949,Hungarian,,,
Csíky Boldizsár (zeneszerző),Csíky Boldizsár,1937,,Hungarian,,,
Csillag Péter,Csillag Péter,1938,,Hungarian,,,
Csire József,Csire József,1926,2011,Hungarian,,,
Csuha Lajos,Csuha Lajos,1947,,Hungarian,,pop,Kategória:Magyar dalszerzők
Dabasi Péter,Dabasi Péter,1950,,Hungarian,,pop,Kategória:Magyar énekesek
Dankó Pista,Dankó Pista,1858,1903,Hungarian,,pop,Kategória:Magyar dalszerzők
Dargay Marcell,Dargay Marcell,1980,,Hungarian,,,
Daróci Bárdos Tamás,Daróci Bárdos Tamás,1931,2019,Hungarian,,,
Darvas Benedek,Darvas Benedek,1976,,Hungarian,,,
Darvas Ferenc (zeneszerző),Darvas Ferenc,1946,,Hungarian,,,
Darvas Kristóf,Darvas Kristóf,1981,,Hungarian,,,
Darvas Gábor,Darvas Gábor,1911,1985,Hungarian,,,
Dávid Gyula (zeneszerző),Dávid Gyula,1913,1977,Hungarian,,,
Deák Bárdos György,Deák Bárdos György,1905,1991,Hungarian,,not_found,
Deák Tamás (zeneszerző),Deák Tamás,1928,,Hungarian,,,
Debály Ferenc József,Debály Ferenc József,1791,1859,Hungarian,,,
Decsényi János,Decsényi János,1927,,Hungarian,,,
Delly-Szabó Géza,Delly-Szabó Géza,1883,1961,Hungarian,,,
Demény Attila (zeneszerző),Demény Attila,1955,2021,Hungarian,,,
Demény Dezső (zeneszerző),Demény Dezső,1871,1937,Hungarian,,,
Derecskei András,Derecskei András,1982,,Hungarian,,,
Dés László,Dés László,1954,,Hungarian,,pop,Kategória:Magyar dzsesszzenészek
Deutsch Vilmos,Deutsch Vilmos,1825,1896,Hungarian,,,
Dinyés Dániel,Dinyés Dániel,1980,,Hungarian,,,
Dinnyés József,Dinnyés József,1948,,Hungarian,,pop,Kategória:Magyar énekesek
Ditrói Kelemen László,Ditrói Kelemen László,1960,,Hungarian,,not_found,
Dobos Attila (zeneszerző),Dobos Attila,1941,,Hungarian,,pop,Kategória:Magyar énekesek
Dobos Gyula,Dobos Gyula,1976,,Hungarian,,,
Dobos Kálmán,Dobos Kálmán,1931,2013,Hungarian,,,
Dobozy Károly,Dobozy Károly,1817,1860,Hungarian,,,
Dobri Dániel,Dobri Dániel,1991,,Hungarian,,,
Dobszay László,Dobszay László,1935,2011,Hungarian,,,
Dóczy József (nótaszerző),Dóczy József,1863,1913,Hungarian,,pop,Kategória:Magyar dalszerzők
Dohnányi Ernő,Dohnányi Ernő,1877,1960,Hungarian,,,
Döme Zsolt,Döme Zsolt,,,Hungarian,,,
Dömény Sándor,Dömény Sándor,1791,after 1837,Hungarian,,,
Dömötör Károly,Dömötör Károly,1831,1886,Hungarian,,,
Donáth Ede,Donáth Ede,1865,1945,Hungarian,,,
Doppler Árpád,Doppler Árpád,1857,1927,Hungarian,,,
Doppler Ferenc,Doppler Ferenc,1821,1883,Hungarian,,,
Doppler Károly,Doppler Károly,1825,1900,Hungarian,,,
Doráti Antal,Doráti Antal,1906,1988,Hungarian,,,
Dragony Tímea,Dragony Tímea,1976,,Hungarian,,,
Draskóczy László,Draskóczy László,1940,,Hungarian,,,
Druschetsky Georg,Druschetsky Georg,1745,1819,Hungarian,Classical-era,not_found,
Dubrovay László,Dubrovay László,1943,,Hungarian,,,
Dudás Lajos,Dudás Lajos,1941,,Hungarian,,not_found,
Dukay Barnabás,Dukay Barnabás,1950,,Hungarian,,,
Durkó Péter,Durkó Péter,1972,,Hungarian,,not_found,
Durkó Zsolt,Durkó Zsolt,1934,1997,Hungarian,,,
Éder Krisztián,Éder Krisztián,1988,,Hungarian,,pop,Kategória:Magyar dalszerzők
Egressy Béni,Egressy Béni,1814,1851,Hungarian,,,
Egry Levente,Egry Levente,1969,,Hungarian,,,
Eichinger Tibor,Eichinger Tibor,1962,,Hungarian,,,
Eisemann Mihály,Eisemann Mihály,1898,1966,Hungarian,,,
Eisikovits Mihály Miksa,Eisikovits Mihály Miksa,1908,1983,Hungarian,,,
Elbert Imre,Elbert Imre,1860,1897,Hungarian,,,
Elek Szilvia,Elek Szilvia,,,Hungarian,,not_found,
Ellenbogen Adolf,Ellenbogen Adolf,1814,1886,Hungarian,,,
Engeszer Mátyás,Engeszer Mátyás,1812,1885,Hungarian,,,
Eötvös József (zenész),Eötvös József,1962,,Hungarian,,,
Eötvös Péter,Eötvös Péter,1944,,Hungarian,,,
Eperjesi Gáspár,Eperjesi Gáspár,,,Hungarian,,not_found,
Epstein Gyula,Epstein Gyula,1832,1918,Hungarian,,,
Erdélyi Náci,Erdélyi Náci,1845,1893,Hungarian,,pop,Kategória:Magyar dalszerzők
Erdélyi Péter (zeneszerző),Erdélyi Péter,1969,,Hungarian,,not_found,
Erdős Armand,Erdős Armand,1873,1920,Hungarian,,,
Erkel Elek,Erkel Elek,1842,1893,Hungarian,,,
Erkel Ferenc,Erkel Ferenc,1810,1893,Hungarian,,,
Erkel Gyula,Erkel Gyula,1842,1909,Hungarian,,,
Erkel Sándor,Erkel Sándor,1846,1900,Hungarian,,,
Erkel Tibor,Erkel Tibor,1934,2017,Hungarian,,,
Esterházy Pál (nádor),Esterházy Pál,1635,1713,Hungarian,Baroque,,
Esztényi Szabolcs,Esztényi Szabolcs,1939,,Hungarian,,,
Faragó Béla,Faragó Béla,1961,,Hungarian,,,
"Faragó ""Judy"" István","Faragó ""Judy"" István",1944,2003,Hungarian,,,
Farkas Ferenc (zeneszerző),Farkas Ferenc,1905,2000,Hungarian,,,
Farkas Ödön,Farkas Ödön,1851,1912,Hungarian,,,
Fasang Árpád (karnagy),Fasang Árpád,1912,2001,Hungarian,,,
Fassang László,Fassang László,1973,,Hungarian,,,
Fazakas Aaron,Fazakas Aaron,1974,,Hungarian,,,
Fátyol Mihály,Fátyol Mihály,1909,1980,Hungarian,,pop,Kategória:Magyar dalszerzők
Fátyol Tibor,Fátyol Tibor,1935,2017,Hungarian,,,
Fáy Gusztáv,Fáy Gusztáv,1824,1866,Hungarian,,,
Fáy István,Fáy István,1809,1862,Hungarian,,,
Fehér András (zeneszerző),Fehér András,1947,2017,Hungarian,,,
Fehér György Miklós,Fehér György Miklós,1951,,Hungarian,,not_found,
Fekete Gyula (zeneszerző),Fekete Gyula,1962,,Hungarian,,,
Fekete Győr István,Fekete Győr István,1936,,Hungarian,,,
Fényes Szabolcs,Fényes Szabolcs,1912,1986,Hungarian,,,
Ferenczy Gyula (zeneszerző),Ferenczy Gyula,1891,1962,Hungarian,,,
Festetics Leó,Festetics Leó,1800,1884,Hungarian,,,
Carl Filtsch,Filtsch Károly,1830,1845,Hungarian,,,
Fodor József (hegedűművész),Fodor József,1752,1828,Hungarian,,,
Fogarasi János (nyelvész),Fogarasi János,1801,1878,Hungarian,,,
Foky-Gruber Gyula,Foky-Gruber Gyula,1927,,Hungarian,,not_found,
Földes Andor,Földes Andor,1913,1992,Hungarian,,,
Földesi János (zeneszerző),Földesi János,,,Hungarian,,not_found,
Földvári Gergely,Földvári Gergely,1970,,Hungarian,,not_found,
Fövenyessy Bertalan,Fövenyessy Bertalan,1875,1967,Hungarian,,,
Francis Viner,Francis Viner,1983,,Hungarian,,not_found,
Frank Ignác (zeneszerző),Frank Ignác,1824,1825,Hungarian,,,
Frank Oszkár,Frank Oszkár,1922,2019,Hungarian,,,
Franz István,Franz István,1785,1855,Hungarian,,not_found,
Fránek Gábor,Fránek Gábor,1868,1930,Hungarian,,not_found,
Fráter Loránd,Fráter Loránd,1872,1930,Hungarian,,pop,Kategória:Magyar dalszerzők
Frid Géza,Frid Géza,1904,1989,Hungarian,,,
Fusz János,Fusz János,1777,1819,Hungarian,Classical-era,,
Futó Balázs,Futó Balázs,1981,,Hungarian,,not_found,
Füredy László,Füredy László,1794,1850,Hungarian,,,
Gaál Ferenc,Gaál Ferenc,1860,1906,Hungarian,,,
Gaál Jenő (zeneszerző),Gaál Jenő,1900,1980,Hungarian,,,
Gál Árpád (zeneszerző),Gál Árpád,1935,1972,Hungarian,,,
Gajáry István,Gajáry István,1884,1939,Hungarian,,not_found,
Galambos Zoltán,Galambos Zoltán,1967,,Hungarian,,,
Gallai Attila,Gallai Attila,1943,,Hungarian,,not_found,
Gárdonyi Zoltán (zeneszerző),Gárdonyi Zoltán,1906,1986,Hungarian,,,
Gárdonyi Zsolt,Gárdonyi Zsolt,1946,,Hungarian,,,
Gasner János,Gasner János,1955,2009,Hungarian,,,
Gazda Péter,Gazda Péter,1948,,Hungarian,,not_found,
Gazdag Tibor (színművész),Gazdag Tibor,1964,,Hungarian,,,
Gémesi Géza,Gémesi Géza,1961,,Hungarian,,not_found,
Gereben Zita,Gereben Zita,1981,,Hungarian,,pop,Kategória:Magyar könnyűzenei előadók
Gerendás Péter,Gerendás Péter,1956,,Hungarian,,,
Geszler György,Geszler György,1913,1998,Hungarian,,,
Geszti Péter,Geszti Péter,1964,,Hungarian,,pop,Kategória:Magyar könnyűzenei előadók
Goldmark Károly,Goldmark Károly,1830,1915,Hungarian,,,
Gonda János,Gonda János,1932,,Hungarian,,,
Gömöry Zsolt,Gömöry Zsolt,1962,,Hungarian,,pop,Kategória:Magyar rockzenészek
Göncz Zoltán,Göncz Zoltán,1958,,Hungarian,,,
Grabócz Miklós,Grabócz Miklós,1927,1974,Hungarian,,,
Grósz Arthur Valentin,Grósz Arthur Valentin,1984,,Hungarian,,not_found,
Gryllus Dániel,Gryllus Dániel,1950,,Hungarian,,,
Gryllus Samu,Gryllus Samu,1976,,Hungarian,,,
Gryllus Vilmos,Gryllus Vilmos,1951,,Hungarian,,,
Gulya Róbert,Gulya Róbert,1973,,Hungarian,,,
Gulyás László (zeneszerző),Gulyás László,1928,1995,Hungarian,,,
Gungl József,Gungl József,1810,1889,Hungarian,,not_found,
Gyöngy Pál,Gyöngy Pál,1902,1990,Hungarian,,,
Gyöngyösi Levente,Gyöngyösi Levente,1975,,Hungarian,,,
Györe Zoltán,Györe Zoltán,1947,,Hungarian,,not_found,
Gyulai Gaál János,Gyulai Gaál János,1924,2009,Hungarian,,,
Győrffy István (zeneszerző),Győrffy István,1954,,Hungarian,,not_found,
Haják Károly,Haják Károly,1886,1970,Hungarian,,,
Hajdu Júlia,Hajdu Júlia,1925,1987,Hungarian,,,
Hajdu Mihály (zeneszerző),Hajdu Mihály,1909,1990,Hungarian,,,
Halmos László,Halmos László,1909,1997,Hungarian,,,
Hammerschlag János,Hammerschlag János,1885,1954,Hungarian,,,
Harmat Artúr,Harmat Artúr,1885,1962,Hungarian,,,
Harsányi Tibor,Harsányi Tibor,1898,1954,Hungarian,,,
Havasi Balázs,Havasi Balázs,1975,2021,Hungarian,,,
Havasy Viktor,Havasy Viktor,1929,2011,Hungarian,,not_found,
Heffner Attila,Heffner Attila,1967,,Hungarian,,not_found,
Héger Attila,Héger Attila,1969,,Hungarian,,not_found,
Heilig Gábor,Heilig Gábor,1949,,Hungarian,,pop,Kategória:Magyar énekesek
Heller István,Heller István,1813,1888,Hungarian,,,
Hellenbach Dénes,Hellenbach Dénes,1919,2008,Hungarian,,not_found,
Hencz József (zeneszerző),Hencz József,1942,,Hungarian,,,
Hermann Pál,Hermann Pál,1902,1944,Hungarian,,,
Hetessy Csaba,Hetessy Csaba,1968,,Hungarian,,,
Hidas Frigyes,Hidas Frigyes,1928,2007,Hungarian,,,
Hímessy Áron,Hímessy Áron,1990,,Hungarian,,not_found,
Hiray Antal György,Hiray Antal György,1770,1842,Hungarian,,,
Hodula István,Hodula István,1897,1935,Hungarian,,not_found,
Holló József,Holló József,1956,,Hungarian,,not_found,
Hollós Máté,Hollós Máté,1954,,Hungarian,,,
Hoós János (zeneszerző),Hoós János,1858,1937,Hungarian,,,
Hortobágyi László,Hortobágyi László,1950,,Hungarian,,,
Horusitzky Zoltán,Horusitzky Zoltán,1903,1985,Hungarian,,,
Horváth Balázs (zeneszerző),Horváth Balázs,1976,,Hungarian,,,
Horváth Barnabás,Horváth Barnabás,1965,,Hungarian,,,
Horváth Bálint,Horváth Bálint,1986,,Hungarian,,,
Horváth Jenő (zeneszerző),Horváth Jenő,1915,1973,Hungarian,,,
Horváth Jenő (zenész),Horváth Jenő,1900,1919,Hungarian,,pop,Kategória:Magyar dalszerzők
Horváth József Mária,Horváth József Mária,1931,2019,Hungarian,,,
Horváth Lajos (zeneszerző),Horváth Lajos,1883,1960,Hungarian,,,
Horváth Márton Levente,Horváth Márton Levente,1983,,Hungarian,,,
Hubbes Walter,Hubbes Walter,1929,2008,Hungarian,,,
Hubay Jenő,Hubay Jenő,1858,1937,Hungarian,,,
Húber Károly,Húber Károly,1828,1885,Hungarian,,not_found,
Huszár Lajos (zeneszerző),Huszár Lajos,1948,,Hungarian,,,
Huszka Jenő,Huszka Jenő,1875,1960,Hungarian,,,
Huszti Márton,Huszti Márton,,,Hungarian,,not_found,
Huzella Elek,Huzella Elek,1915,1971,Hungarian,,,
Huzella Péter,Huzella Péter,1949,,Hungarian,,pop,Kategória:Magyar énekesek
Illés Lajos (zenész),Illés Lajos,1942,2007,Hungarian,,,
Istvánffy Benedek,Istvánffy Benedek,1733,1778,Hungarian,Classical-era,,
Ivaskovics József,Ivaskovics József,1950,,Hungarian,,not_found,
Jakab György (zenész),Jakab György,1950,1996,Hungarian,,pop,Kategória:Magyar énekesek
Jakab István (drámaíró),Jakab István,1798,1876,Hungarian,,,
Jacobi Viktor,Jacobi Viktor,1883,1921,Hungarian,,,
Járdányi Pál,Járdányi Pál,1920,1966,Hungarian,,,
Járossy Jenő,Járossy Jenő,1887,1975,Hungarian,,not_found,
Jemnitz Sándor,Jemnitz Sándor,1890,1963,Hungarian,,,
Jeney Zoltán (zeneszerző),Jeney Zoltán,1943,2019,Hungarian,,,
Joachim József (hegedűművész),Joachim József,1831,1907,Hungarian,,,
Juhász Frigyes,Juhász Frigyes,1925,2001,Hungarian,,,
Junger Ervin,Junger Ervin,1931,2019,Hungarian,,,
Kacsóh Pongrác,Kacsóh Pongrác,1873,1923,Hungarian,,,
Kadosa Pál,Kadosa Pál,1903,1983,Hungarian,,,
Kájoni János,Kájoni János,c. 1629,1687,Hungarian,,,
Káldy Gyula,Káldy Gyula,1838,1901,Hungarian,,,
Kálmán Andor,Kálmán Andor,1897,1965,Hungarian,,,
Kálmán Imre,Kálmán Imre,1882,1953,Hungarian,,,
Kálmán Tamás Káté,Kálmán Tamás Káté,1979,,Hungarian,,,
Kalmár László (zeneszerző),Kalmár László,1931,1995,Hungarian,,,
Karai József,Karai József,1927,2013,Hungarian,,,
Karányi J. Dániel,Karányi J. Dániel,1982,,Hungarian,,pop,Kategória:Magyar könnyűzenei előadók
Kardos István (zeneszerző),Kardos István,1891,1975,Hungarian,,,
Károlyi Pál,Károlyi Pál,1934,2015,Hungarian,,,
Karossa Endre,Karossa Endre,1819,1870,Hungarian,,,
Kasza Tibor,Kasza Tibor,1978,,Hungarian,,pop,Kategória:Magyar könnyűzenei előadók
Kazacsay Tibor,Kazacsay Tibor,1892,1977,Hungarian,,,
Kedves Csanád,Kedves Csanád,1983,,Hungarian,,,
Kelemen Sándor (gyógyszerész),Kelemen Sándor,1882,1944,Hungarian,,pop,Kategória:Magyar dalszerzők
Kelemenné Zathureczky Berta,Kelemenné Zathureczky Berta,1855,1924,Hungarian,,,
Kelen Hugó,Kelen Hugó,1888,1956,Hungarian,,,
Kéler Béla,Kéler Béla,1820,1882,Hungarian,,,
Kemény Egon,Kemény Egon,1905,1969,Hungarian,,pop,Kategória:Magyar dalszerzők
Kemény Gábor (zeneszerző),Kemény Gábor,1954,,Hungarian,,,
Kenessey Jenő,Kenessey Jenő,1905,1976,Hungarian,,,
Kerényi György (zeneszerző),Kerényi György,1902,1986,Hungarian,,,
Keresztes Károly (zeneszerző),Keresztes Károly,1891,1944,Hungarian,,,
Keresztes Tamás,Keresztes Tamás,1978,,Hungarian,,,
Kerntler Jenő,Kerntler Jenő,1878,1938,Hungarian,,,
Kersch Ferenc,Kersch Ferenc,1853,1910,Hungarian,,,
Kertész Gyula (zeneszerző),Kertész Gyula,1900,1967,Hungarian,,not_found,
Keuler Jenő,Keuler Jenő,1936,,Hungarian,,not_found,
Király Dávid Zsolt,Király Dávid Zsolt,1964,,Hungarian,,not_found,
Király Ernő (zeneszerző),Király Ernő,1919,2007,Hungarian,,,
Király Péter (zeneszerző),Király Péter,1870,1940,Hungarian,,not_found,
Király László (zeneszerző),Király László,1954,,Hungarian,,,
Kisfalussy Bálint,Kisfalussy Bálint,1939,2015,Hungarian,,pop,Kategória:Magyar énekesek
Kispál András,Kispál András,1964,,Hungarian,,,
Kiss Lajos (zeneszerző),Kiss Lajos,1900,1982,Hungarian,,not_found,
Kistétényi Melinda,Kistétényi Melinda,1926,1999,Hungarian,,,
Kisvárdai Szilárd,Kisvárdai Szilárd,1981,,Hungarian,,not_found,
Kocsák Tibor,Kocsák Tibor,1954,,Hungarian,,,
Kocsár Miklós,Kocsár Miklós,1933,2019,Hungarian,,,
Kocsis Zoltán,Kocsis Zoltán,1952,2016,Hungarian,,,
Kodály Zoltán,Kodály Zoltán,1882,1967,Hungarian,,,
Koessler János,Koessler János,1853,1926,Hungarian,,,
Koháry Mária Antónia,Koháry Mária Antónia,1797,1862,Hungarian,,,
Kókai Rezső,Kókai Rezső,1906,1962,Hungarian,,,
Koloss István,Koloss István,1932,2010,Hungarian,,not_found,
Koltay Gergely,Koltay Gergely,1952,,Hungarian,,,
Komjáti Károly,Komjáti Károly,1896,1953,Hungarian,,,
Koncz Tibor,Koncz Tibor,1940,,Hungarian,,,
Könczei Árpád,Könczei Árpád,1959,,Hungarian,,,
Könczöl Ferenc,Könczöl Ferenc,,,Hungarian,,not_found,
Kondor Ádám,Kondor Ádám,1964,,Hungarian,,,
Kontor Tamás,Kontor Tamás,1977,,Hungarian,,pop,Kategória:Magyar dalszerzők
Körmendi Vilmos,Körmendi Vilmos,1931,2016,Hungarian,,,
Kósa György,Kósa György,1897,1984,Hungarian,,,
Kossovits József,Kossovits József,after 1750,before 1819,Hungarian,,,
Koudela Géza,Koudela Géza,1894,1939,Hungarian,,not_found,
Kovács Ákos (zenész),Kovács Ákos,1968,,Hungarian,,pop,Kategória:Magyar dalszerzők
Kovács Attila (zeneszerző),Kovács Attila,1953,,Hungarian,,pop,Kategória:Magyar dzsesszzenészek
Kovács György (hangmérnök),Kovács György,1942,,Hungarian,,,
Kovács Mátyás,Kovács Mátyás,,,Hungarian,,,
Kovács Olivér (zeneszerző),Kovács Olivér,1989,,Hungarian,,not_found,
